AttendanceID,EmployeeID,Date,InTime,OutTime,WorkHours,Status,Remarks,ShiftCode
90,1,29/06/2024,10:30,19:30,9,Present,Late,GG
91,1,30/06/2024,09:15,18:45,9.5,Present,Late,GG
92,1,01/07/2024,10:00,19:00,9,Present,Late,G2
93,1,02/07/2024,10:15,19:30,9.25,Present,WFH,GG
94,1,03/07/2024,11:15,15:15,4,Half Day,Late,MA
95,1,04/07/2024,10:30,20:15,9.75,Present,Late,G2
96,1,05/07/2024,,,0,Leave,Annual Leave,NN
97,1,06/07/2024,08:00,17:15,9.25,Present,WFH,G2
98,1,07/07/2024,08:15,17:30,9.25,Present,WFH,MM
99,1,08/07/2024,10:00,14:00,4,Half Day,Late,MM
100,1,09/07/2024,10:45,20:30,9.75,Present,Late,MM
101,1,10/07/2024,,,0,Leave,Annual Leave,NN
102,1,11/07/2024,10:00,19:15,9.25,Present,,MA
103,1,12/07/2024,10:30,19:30,9,Present,WFH,G2
104,1,13/07/2024,09:00,18:30,9.5,Present,Late,MM
105,1,14/07/2024,,,0,Absent,Sick,G2
106,1,15/07/2024,08:00,17:00,9,Present,,NA
107,1,16/07/2024,09:15,19:00,9.75,Present,,G1
108,1,17/07/2024,10:15,19:15,9,Present,WFH,NA
109,1,18/07/2024,09:30,18:45,9.25,Present,WFH,G2
110,1,19/07/2024,09:00,18:00,9,Present,,MA
111,1,20/07/2024,,,0,Absent,Sick,GG
112,1,21/07/2024,10:15,19:15,9,Present,,G2
113,1,22/07/2024,09:15,18:45,9.5,Present,WFH,MM
114,1,23/07/2024,09:45,19:15,9.5,Present,Late,GG
115,1,24/07/2024,08:45,18:30,9.75,Present,WFH,GG
116,1,25/07/2024,10:30,20:00,9.5,Present,Late,G1
117,1,26/07/2024,09:45,18:45,9,Present,,MA
118,1,27/07/2024,10:15,19:15,9,Present,WFH,G1
119,1,28/07/2024,08:30,17:45,9.25,Present,,NA
120,1,29/07/2024,,,0,Leave,Annual Leave,GG
121,1,30/07/2024,09:45,19:00,9.25,Present,Late,G1
122,1,31/07/2024,09:45,18:45,9,Present,WFH,NA
123,1,01/08/2024,,,0,Leave,Sick Leave,MM
124,1,02/08/2024,10:45,20:00,9.25,Present,WFH,MM
125,1,03/08/2024,10:30,19:45,9.25,Present,Late,MM
126,1,04/08/2024,08:45,18:00,9.25,Present,WFH,NA
127,1,05/08/2024,10:15,19:45,9.5,Present,WFH,G1
128,1,06/08/2024,,,0,Leave,Sick Leave,NN
129,1,07/08/2024,08:00,17:00,9,Present,WFH,G2
130,1,08/08/2024,09:00,13:00,4,Half Day,Late,NN
131,1,09/08/2024,08:15,17:15,9,Present,WFH,G2
132,1,10/08/2024,09:15,18:30,9.25,Present,,G1
133,1,11/08/2024,08:00,17:00,9,Present,WFH,MA
134,1,12/08/2024,08:15,17:45,9.5,Present,WFH,MA
135,1,13/08/2024,,,0,Leave,Sick Leave,MM
136,1,14/08/2024,08:00,17:15,9.25,Present,,G2
137,1,15/08/2024,10:45,20:15,9.5,Present,Late,GG
138,1,16/08/2024,11:15,15:15,4,Half Day,Personal Work,MA
139,1,17/08/2024,08:15,17:45,9.5,Present,Late,NN
140,1,18/08/2024,,,0,Absent,WeekOff,G1
141,1,19/08/2024,09:15,18:45,9.5,Present,WFH,MM
142,1,20/08/2024,09:15,19:00,9.75,Present,WFH,MM
143,1,21/08/2024,08:15,17:45,9.5,Present,WFH,GG
144,1,22/08/2024,08:30,17:30,9,Present,,MM
145,1,23/08/2024,08:15,17:45,9.5,Present,,G2
146,1,24/08/2024,09:30,13:30,4,Half Day,Late,MA
147,1,25/08/2024,09:30,13:30,4,Half Day,Late,G1
148,1,26/08/2024,09:45,19:15,9.5,Present,Late,GG
149,1,27/08/2024,10:45,20:15,9.5,Present,,NN
150,1,28/08/2024,10:45,19:45,9,Present,Late,MA
151,1,29/08/2024,08:00,17:30,9.5,Present,,G1
152,1,30/08/2024,10:15,19:15,9,Present,WFH,NN
153,1,31/08/2024,,,0,Absent,Sick,MA
154,1,01/09/2024,09:00,18:45,9.75,Present,WFH,GG
155,1,02/09/2024,,,0,Leave,Sick Leave,G2
156,1,03/09/2024,08:00,17:00,9,Present,Late,G2
157,1,04/09/2024,08:00,17:45,9.75,Present,WFH,NN
158,1,05/09/2024,,,0,Absent,WeekOff,NA
159,1,06/09/2024,08:00,17:00,9,Present,WFH,GG
160,1,07/09/2024,08:00,17:30,9.5,Present,WFH,NN
161,1,08/09/2024,10:00,14:00,4,Half Day,Late,MA
162,1,09/09/2024,,,0,Absent,WeekOff,NN
163,1,10/09/2024,08:15,17:15,9,Present,Late,NN
164,1,11/09/2024,08:00,17:45,9.75,Present,,NA
165,1,12/09/2024,10:45,20:15,9.5,Present,Late,MA
166,1,13/09/2024,,,0,Leave,Annual Leave,G2
167,1,14/09/2024,,,0,Leave,Annual Leave,G2
168,1,15/09/2024,10:45,20:15,9.5,Present,WFH,MM
169,1,16/09/2024,08:45,18:00,9.25,Present,WFH,G1
170,1,17/09/2024,09:45,19:00,9.25,Present,Late,GG
171,1,18/09/2024,10:15,20:00,9.75,Present,Late,NA
172,1,19/09/2024,08:15,17:15,9,Present,WFH,MM
173,1,20/09/2024,,,0,Leave,Sick Leave,MA
174,1,21/09/2024,09:15,18:30,9.25,Present,WFH,GG
175,1,22/09/2024,08:15,17:15,9,Present,WFH,MM
176,1,23/09/2024,08:00,17:30,9.5,Present,,NN
177,1,24/09/2024,09:30,19:00,9.5,Present,Late,MA
178,1,25/09/2024,09:45,19:00,9.25,Present,,MM
179,1,26/09/2024,09:45,18:45,9,Present,WFH,GG
180,1,27/09/2024,08:30,17:45,9.25,Present,Late,MM
181,1,28/09/2024,08:45,18:15,9.5,Present,,NN
182,1,29/09/2024,09:30,19:15,9.75,Present,,NA
183,1,30/09/2024,09:00,18:30,9.5,Present,,G2
184,1,01/10/2024,09:45,19:30,9.75,Present,WFH,NN
185,1,02/10/2024,08:15,18:00,9.75,Present,WFH,MA
186,1,03/10/2024,,,0,Absent,Sick,MM
187,1,04/10/2024,09:00,18:45,9.75,Present,WFH,NN
188,1,05/10/2024,10:00,19:00,9,Present,WFH,GG
189,1,06/10/2024,08:45,18:15,9.5,Present,Late,G2
190,1,07/10/2024,09:45,19:30,9.75,Present,,G2
191,1,08/10/2024,09:00,18:30,9.5,Present,WFH,MA
192,1,09/10/2024,08:30,17:45,9.25,Present,,MA
193,1,10/10/2024,08:00,17:00,9,Present,WFH,MA
194,1,11/10/2024,10:00,19:00,9,Present,Late,NA
195,1,12/10/2024,10:15,19:45,9.5,Present,WFH,NN
196,1,13/10/2024,,,0,Leave,Sick Leave,NA
197,1,14/10/2024,11:15,15:15,4,Half Day,Personal Work,NN
198,1,15/10/2024,08:45,17:45,9,Present,WFH,MA
199,1,16/10/2024,08:30,18:15,9.75,Present,Late,G1
200,1,17/10/2024,08:15,17:30,9.25,Present,WFH,GG
201,1,18/10/2024,08:15,17:30,9.25,Present,Late,NN
202,1,19/10/2024,09:30,18:30,9,Present,Late,MA
203,1,20/10/2024,08:30,17:30,9,Present,Late,MM
204,1,21/10/2024,,,0,Absent,Sick,NA
205,1,22/10/2024,09:30,18:30,9,Present,WFH,G2
206,1,23/10/2024,,,0,Absent,WeekOff,MM
207,1,24/10/2024,08:45,18:00,9.25,Present,Late,G2
208,1,25/10/2024,10:00,19:00,9,Present,WFH,NA
209,1,26/10/2024,10:15,19:45,9.5,Present,Late,GG
210,1,27/10/2024,08:45,18:15,9.5,Present,Late,GG
211,1,28/10/2024,09:45,19:15,9.5,Present,WFH,NA
212,1,29/10/2024,,,0,Absent,Sick,MM
213,1,30/10/2024,,,0,Absent,Sick,G1
214,1,31/10/2024,,,0,Leave,Sick Leave,G1
215,1,01/11/2024,,,0,Absent,Sick,GG
216,1,02/11/2024,08:45,18:30,9.75,Present,WFH,G2
217,1,03/11/2024,10:30,14:30,4,Half Day,Personal Work,MM
218,1,04/11/2024,,,0,Absent,Sick,GG
219,1,05/11/2024,,,0,Leave,Sick Leave,MA
220,1,06/11/2024,10:15,19:30,9.25,Present,WFH,GG
221,1,07/11/2024,,,0,Absent,WeekOff,G1
222,1,08/11/2024,08:45,18:15,9.5,Present,WFH,NA
223,1,09/11/2024,10:45,20:30,9.75,Present,Late,G1
224,1,10/11/2024,10:15,20:00,9.75,Present,Late,NN
225,1,11/11/2024,08:45,18:15,9.5,Present,WFH,G1
226,1,12/11/2024,10:45,19:45,9,Present,Late,MA
227,1,13/11/2024,08:45,18:15,9.5,Present,Late,NN
228,1,14/11/2024,10:45,20:15,9.5,Present,Late,NN
229,1,15/11/2024,10:15,19:45,9.5,Present,WFH,G2
230,1,16/11/2024,09:30,18:45,9.25,Present,,NN
231,1,17/11/2024,10:00,19:45,9.75,Present,,NA
232,1,18/11/2024,08:45,17:45,9,Present,Late,MM
233,1,19/11/2024,,,0,Leave,Sick Leave,MM
234,1,20/11/2024,09:00,18:30,9.5,Present,Late,NA
235,1,21/11/2024,08:00,17:30,9.5,Present,WFH,NA
236,1,22/11/2024,,,0,Absent,,NA
237,1,23/11/2024,08:00,17:15,9.25,Present,WFH,MM
238,1,24/11/2024,08:30,18:00,9.5,Present,WFH,MM
239,1,25/11/2024,09:45,19:30,9.75,Present,WFH,NN
240,1,26/11/2024,11:30,15:30,4,Half Day,Late,NN
241,1,27/11/2024,09:00,18:00,9,Present,WFH,MA
242,1,28/11/2024,,,0,Leave,Sick Leave,NA
243,1,29/11/2024,08:45,18:30,9.75,Present,,NN
244,1,30/11/2024,,,0,Leave,Annual Leave,MM
245,1,01/12/2024,09:45,18:45,9,Present,WFH,G2
246,1,02/12/2024,10:15,19:15,9,Present,,NA
247,1,03/12/2024,11:15,15:15,4,Half Day,Personal Work,G1
248,1,04/12/2024,08:30,18:00,9.5,Present,WFH,NN
249,1,05/12/2024,08:00,17:45,9.75,Present,Late,G1
250,1,06/12/2024,09:00,18:15,9.25,Present,Late,MA
251,1,07/12/2024,10:30,19:30,9,Present,WFH,NN
252,1,08/12/2024,10:00,19:45,9.75,Present,Late,NA
253,1,09/12/2024,,,0,Leave,Sick Leave,NN
254,1,10/12/2024,11:00,15:00,4,Half Day,Personal Work,MM
255,1,11/12/2024,09:15,18:45,9.5,Present,,G2
256,1,12/12/2024,09:45,19:00,9.25,Present,WFH,G2
257,1,13/12/2024,,,0,Absent,WeekOff,MA
258,1,14/12/2024,08:15,17:30,9.25,Present,,MA
259,1,15/12/2024,08:00,17:45,9.75,Present,,G2
260,1,16/12/2024,08:45,18:30,9.75,Present,WFH,MA
261,1,17/12/2024,09:00,13:00,4,Half Day,Late,MM
262,1,18/12/2024,08:45,18:00,9.25,Present,Late,G2
263,1,19/12/2024,,,0,Leave,Annual Leave,G1
264,1,20/12/2024,09:00,18:30,9.5,Present,Late,MA
265,1,21/12/2024,09:00,18:00,9,Present,,GG
266,1,22/12/2024,10:45,20:30,9.75,Present,WFH,G2
267,1,23/12/2024,09:15,18:45,9.5,Present,WFH,G1
268,1,24/12/2024,10:30,19:45,9.25,Present,,NA
269,1,25/12/2024,,,0,Leave,Sick Leave,GG
270,1,26/12/2024,10:15,19:15,9,Present,,MA
271,1,27/12/2024,09:00,18:45,9.75,Present,WFH,NA
272,1,28/12/2024,09:30,18:30,9,Present,,G2
273,1,29/12/2024,,,0,Leave,Sick Leave,NA
274,1,30/12/2024,09:15,18:30,9.25,Present,WFH,MA
275,1,31/12/2024,09:15,18:30,9.25,Present,WFH,G2
276,1,01/01/2025,10:30,20:00,9.5,Present,,NN
277,1,02/01/2025,08:45,18:15,9.5,Present,WFH,MA
278,1,03/01/2025,09:00,18:15,9.25,Present,,G2
279,1,04/01/2025,09:45,18:45,9,Present,Late,MA
280,1,05/01/2025,08:15,17:15,9,Present,,GG
281,1,06/01/2025,09:00,18:45,9.75,Present,,NN
282,1,07/01/2025,09:00,18:15,9.25,Present,Late,G2
283,1,08/01/2025,,,0,Leave,Sick Leave,MM
284,1,09/01/2025,10:45,20:15,9.5,Present,Late,NN
285,1,10/01/2025,08:00,17:45,9.75,Present,Late,NA
286,1,11/01/2025,09:15,18:30,9.25,Present,WFH,G1
287,1,12/01/2025,10:15,19:45,9.5,Present,Late,MM
288,1,13/01/2025,08:30,17:30,9,Present,WFH,MM
289,1,14/01/2025,08:15,17:30,9.25,Present,,NN
290,1,15/01/2025,10:00,19:15,9.25,Present,WFH,MA
291,1,16/01/2025,08:15,17:45,9.5,Present,Late,MA
292,1,17/01/2025,10:45,19:45,9,Present,,NA
293,1,18/01/2025,11:00,15:00,4,Half Day,Late,NN
294,1,19/01/2025,10:30,19:45,9.25,Present,Late,G2
295,1,20/01/2025,08:45,18:30,9.75,Present,,G1
296,1,21/01/2025,08:45,18:15,9.5,Present,Late,G1
297,1,22/01/2025,09:00,18:45,9.75,Present,WFH,G1
298,1,23/01/2025,,,0,Absent,,G2
299,1,24/01/2025,08:30,18:00,9.5,Present,WFH,G2
300,1,25/01/2025,09:45,19:30,9.75,Present,Late,GG
301,1,26/01/2025,08:30,18:00,9.5,Present,,G1
302,1,27/01/2025,09:00,18:15,9.25,Present,WFH,MM
303,1,28/01/2025,10:30,14:30,4,Half Day,Late,GG
304,1,29/01/2025,09:00,18:00,9,Present,Late,MM
305,1,30/01/2025,08:00,17:45,9.75,Present,WFH,MA
306,1,31/01/2025,,,0,Leave,Annual Leave,NN
307,1,01/02/2025,09:00,18:15,9.25,Present,,GG
308,1,02/02/2025,,,0,Leave,Annual Leave,G1
309,1,03/02/2025,08:30,17:30,9,Present,Late,NN
310,1,04/02/2025,,,0,Absent,,NN
311,1,05/02/2025,08:00,17:00,9,Present,WFH,G2
312,1,06/02/2025,,,0,Leave,Sick Leave,MA
313,1,07/02/2025,09:15,13:15,4,Half Day,Personal Work,G2
314,1,08/02/2025,,,0,Leave,Annual Leave,MA
315,1,09/02/2025,08:15,18:00,9.75,Present,Late,MA
316,1,10/02/2025,09:00,18:45,9.75,Present,WFH,GG
317,1,11/02/2025,08:30,17:45,9.25,Present,,NA
318,1,12/02/2025,,,0,Absent,Sick,NA
319,1,13/02/2025,09:45,18:45,9,Present,Late,MA
320,1,14/02/2025,08:15,17:30,9.25,Present,Late,NA
321,1,15/02/2025,,,0,Leave,Sick Leave,GG
322,1,16/02/2025,08:45,17:45,9,Present,,MA
323,1,17/02/2025,,,0,Absent,Sick,MA
324,1,18/02/2025,11:30,15:30,4,Half Day,Personal Work,NA
325,1,19/02/2025,10:30,19:30,9,Present,Late,MA
326,1,20/02/2025,09:15,19:00,9.75,Present,,NA
327,1,21/02/2025,08:00,17:15,9.25,Present,WFH,MA
328,1,22/02/2025,,,0,Leave,Annual Leave,GG
329,1,23/02/2025,08:45,17:45,9,Present,WFH,G1
330,1,24/02/2025,08:00,17:00,9,Present,,G1
331,1,25/02/2025,10:30,20:00,9.5,Present,WFH,NA
332,1,26/02/2025,09:15,18:15,9,Present,,G2
333,1,27/02/2025,,,0,Leave,Sick Leave,G2
334,1,28/02/2025,09:30,13:30,4,Half Day,Personal Work,NA
335,1,01/03/2025,08:00,17:30,9.5,Present,Late,MM
336,1,02/03/2025,09:15,19:00,9.75,Present,WFH,G1
337,1,03/03/2025,09:00,18:30,9.5,Present,WFH,GG
338,1,04/03/2025,,,0,Leave,Sick Leave,MM
339,1,05/03/2025,08:00,17:30,9.5,Present,WFH,G2
340,1,06/03/2025,08:45,18:00,9.25,Present,Late,MM
341,1,07/03/2025,09:15,19:00,9.75,Present,Late,G2
342,1,08/03/2025,09:30,19:15,9.75,Present,,GG
343,1,09/03/2025,09:30,19:15,9.75,Present,Late,NN
344,1,10/03/2025,09:30,18:30,9,Present,,MA
345,1,11/03/2025,10:00,19:15,9.25,Present,,MA
346,1,12/03/2025,09:45,19:30,9.75,Present,WFH,GG
347,1,13/03/2025,,,0,Leave,Sick Leave,MA
348,1,14/03/2025,09:15,18:45,9.5,Present,WFH,NN
349,1,15/03/2025,08:30,18:00,9.5,Present,,G2
350,1,16/03/2025,08:30,17:30,9,Present,,MM
351,1,17/03/2025,09:30,18:45,9.25,Present,WFH,G1
352,1,18/03/2025,10:30,20:15,9.75,Present,,GG
353,1,19/03/2025,09:00,18:00,9,Present,WFH,NN
354,1,20/03/2025,,,0,Absent,Sick,G2
355,1,21/03/2025,,,0,Absent,,GG
356,1,22/03/2025,10:45,20:15,9.5,Present,WFH,MA
357,1,23/03/2025,08:45,18:00,9.25,Present,Late,NN
358,1,24/03/2025,,,0,Leave,Sick Leave,MA
359,1,25/03/2025,08:00,17:45,9.75,Present,Late,MA
360,1,26/03/2025,10:00,19:30,9.5,Present,WFH,MA
361,1,27/03/2025,,,0,Absent,WeekOff,G1
362,1,28/03/2025,,,0,Absent,Sick,MA
363,1,29/03/2025,10:00,19:15,9.25,Present,,G1
364,1,30/03/2025,09:45,19:30,9.75,Present,Late,GG
365,1,31/03/2025,,,0,Leave,Sick Leave,MM
366,1,01/04/2025,10:00,19:30,9.5,Present,WFH,MA
367,1,02/04/2025,09:45,19:30,9.75,Present,,MA
368,1,03/04/2025,11:15,15:15,4,Half Day,Late,GG
369,1,04/04/2025,09:45,19:30,9.75,Present,Late,MA
370,1,05/04/2025,08:00,17:15,9.25,Present,Late,NN
371,1,06/04/2025,,,0,Leave,Sick Leave,G1
372,1,07/04/2025,09:00,18:15,9.25,Present,,NA
373,1,08/04/2025,09:45,18:45,9,Present,,NN
374,1,09/04/2025,10:45,19:45,9,Present,WFH,GG
375,1,10/04/2025,10:15,19:45,9.5,Present,,GG
376,1,11/04/2025,08:15,17:45,9.5,Present,,MM
377,1,12/04/2025,,,0,Absent,,NA
378,1,13/04/2025,10:15,20:00,9.75,Present,Late,NN
379,1,14/04/2025,08:15,18:00,9.75,Present,,NN
380,1,15/04/2025,09:00,18:45,9.75,Present,Late,GG
381,1,16/04/2025,08:30,18:15,9.75,Present,WFH,GG
382,1,17/04/2025,10:30,19:45,9.25,Present,Late,GG
383,1,18/04/2025,08:15,17:45,9.5,Present,Late,G1
384,1,19/04/2025,,,0,Leave,Sick Leave,G1
385,1,20/04/2025,10:15,20:00,9.75,Present,,G2
386,1,21/04/2025,10:00,19:00,9,Present,WFH,G2
387,1,22/04/2025,10:00,19:30,9.5,Present,Late,NN
388,1,23/04/2025,09:00,18:30,9.5,Present,,G1
389,1,24/04/2025,10:30,19:30,9,Present,WFH,MA
390,1,25/04/2025,11:30,15:30,4,Half Day,Late,NA
391,1,26/04/2025,09:45,19:30,9.75,Present,WFH,MA
392,1,27/04/2025,09:00,18:30,9.5,Present,Late,G2
393,1,28/04/2025,,,0,Leave,Annual Leave,NN
394,1,29/04/2025,09:15,18:30,9.25,Present,WFH,MA
395,1,30/04/2025,10:00,19:30,9.5,Present,Late,NA
396,1,01/05/2025,09:00,18:15,9.25,Present,,NN
397,1,02/05/2025,,,0,Leave,Sick Leave,G2
398,1,03/05/2025,10:15,20:00,9.75,Present,Late,MA
399,1,04/05/2025,09:15,19:00,9.75,Present,Late,MM
400,1,05/05/2025,11:30,15:30,4,Half Day,Personal Work,MA
401,1,06/05/2025,08:15,17:15,9,Present,,NA
402,1,07/05/2025,09:30,19:15,9.75,Present,WFH,MA
403,1,08/05/2025,08:15,17:45,9.5,Present,Late,G1
404,1,09/05/2025,10:45,20:30,9.75,Present,WFH,MM
405,1,10/05/2025,09:30,19:00,9.5,Present,Late,G1
406,1,11/05/2025,,,0,Leave,Annual Leave,GG
407,1,12/05/2025,09:15,18:45,9.5,Present,WFH,GG
408,1,13/05/2025,10:15,20:00,9.75,Present,,NA
409,1,14/05/2025,09:30,19:00,9.5,Present,,NA
410,1,15/05/2025,09:45,19:00,9.25,Present,Late,NA
411,1,16/05/2025,08:45,18:15,9.5,Present,WFH,NA
412,1,17/05/2025,10:15,19:30,9.25,Present,,MA
413,1,18/05/2025,08:45,18:00,9.25,Present,Late,NA
414,1,19/05/2025,10:45,20:00,9.25,Present,Late,MM
415,1,20/05/2025,09:30,19:15,9.75,Present,Late,MM
416,1,21/05/2025,08:30,17:30,9,Present,,NN
417,1,22/05/2025,08:00,17:30,9.5,Present,,G2
418,1,23/05/2025,10:15,19:15,9,Present,WFH,MM
419,1,24/05/2025,09:30,19:00,9.5,Present,,MA
420,1,25/05/2025,09:00,18:30,9.5,Present,,NN
421,1,26/05/2025,08:30,17:30,9,Present,WFH,G1
422,1,27/05/2025,09:30,13:30,4,Half Day,Personal Work,MA
423,1,28/05/2025,,,0,Leave,Annual Leave,G1
424,1,29/05/2025,08:30,17:30,9,Present,,MA
425,1,30/05/2025,08:15,18:00,9.75,Present,WFH,MA
426,1,31/05/2025,08:15,17:45,9.5,Present,WFH,G1
427,2,01/04/2024,,,0,Leave,Annual Leave,MM
428,2,02/04/2024,08:15,17:15,9,Present,Late,G1
429,2,03/04/2024,09:45,19:00,9.25,Present,WFH,G2
430,2,04/04/2024,08:00,17:30,9.5,Present,Late,G2
431,2,05/04/2024,09:00,18:00,9,Present,Late,MM
432,2,06/04/2024,09:45,19:00,9.25,Present,Late,NA
433,2,07/04/2024,08:15,17:30,9.25,Present,Late,GG
434,2,08/04/2024,09:45,18:45,9,Present,,MM
435,2,09/04/2024,10:30,14:30,4,Half Day,Late,MA
436,2,10/04/2024,09:15,18:45,9.5,Present,,G2
437,2,11/04/2024,09:30,19:15,9.75,Present,Late,G2
438,2,12/04/2024,09:30,19:15,9.75,Present,Late,G1
439,2,13/04/2024,08:30,18:00,9.5,Present,Late,NN
440,2,14/04/2024,08:15,17:30,9.25,Present,,MM
441,2,15/04/2024,10:45,20:30,9.75,Present,Late,NA
442,2,16/04/2024,09:15,18:15,9,Present,WFH,G1
443,2,17/04/2024,08:15,18:00,9.75,Present,Late,NN
444,2,18/04/2024,08:00,17:45,9.75,Present,WFH,GG
445,2,19/04/2024,09:45,19:15,9.5,Present,Late,MA
446,2,20/04/2024,10:30,20:00,9.5,Present,,G2
447,2,21/04/2024,10:00,14:00,4,Half Day,Personal Work,MM
448,2,22/04/2024,10:15,20:00,9.75,Present,Late,G1
449,2,23/04/2024,11:00,15:00,4,Half Day,Late,NN
450,2,24/04/2024,09:15,18:45,9.5,Present,WFH,NA
451,2,25/04/2024,,,0,Absent,WeekOff,NA
